"","app_id","developer","score_rank","owners_min","owners_max","price","Name","hours_played","Action","Platformer","RPG","RTS","Strategy","Turn-Based Strategy"
"93",245890,"Gearbox Software, Aspyr (Mac & Linux)","","0","20000","299","Borderlands 2: Headhunter 1: Bloody Harvest",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"94",245910,"Gearbox Software, Aspyr (Mac & Linux)","","0","20000","299","Borderlands 2: Headhunter 2: Wattle Gobbler",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"95",245930,"Gearbox Software, Aspyr (Mac & Linux)","","0","20000","299","Borderlands 2: Headhunter 3: Mercenary Day",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"96",245950,"Gearbox Software, Aspyr (Mac & Linux)","","0","20000","299","Borderlands 2: Headhunter 4: Wedding Day Massacre",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"97",245970,"Gearbox Software, Aspyr (Mac & Linux)","","0","20000","299","Borderlands 2: Headhunter 5: Son of Crawmerax",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"98",65920,"Gearbox Software","","0","20000","999","Borderlands DLC: Claptrap’s New Robot Revolution",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"99",40940,"Gearbox Software","","0","20000","999","Borderlands DLC: Mad Moxxi's Underdome Riot",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"100",50110,"Gearbox Software","","0","20000","999","Borderlands DLC: The Secret Armory of General Knoxx",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"101",8990,"Gearbox Software","","0","20000","999","Borderlands DLC: The Zombie Island of Dr. Ned",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"102",8980,"Gearbox Software","","1000000","2000000","2999","Borderlands GOTY",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"103",374390,"Digitalmindsoft","","0","20000","1499","Call to Arms - Deluxe Edition",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"104",235584,"Firaxis Games, Aspyr (Mac and Linux)","","0","20000","499","Civilization V - Scrambled Continents Map Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"105",287371,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","","0","20000","1299","COH2 - The Western Front Armies: Oberkommando West",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"106",4560,"Relic Entertainment","","2000000","5000000","1999","Company of Heroes - Legacy Edition",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"107",231430,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","","5000000","10000000","1999","Company of Heroes 2",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"108",681590,"Blitzkrieg Mod Team","","0","20000","0","Company of Heroes: Blitzkrieg Mod",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"109",9340,"Relic Entertainment","","2000000","5000000","1999","Company of Heroes: Opposing Fronts",NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"110",20540,"Relic Entertainment","","2000000","5000000","1999","Company of Heroes: Tales of Valor",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"111",226673,"Paradox Development Studio","","0","20000","199","Crusader Kings II: Finno-Ugric Unit Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"112",354330,"Paradox Development Studio","","0","20000","1499","Crusader Kings II: Horse Lords ",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"113",592800,"Paradox Development Studio","","0","20000","0","Crusader Kings II: South Indian Portraits 5 Year Anniversary Gift",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"114",210908,"Paradox Development Studio","","0","20000","1499","Crusader Kings II: The Old Gods ",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"115",210906,"Paradox Development Studio","","0","20000","999","Crusader Kings II: The Republic ",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"116",580100,"Red Hook Studios","","0","20000","999","Darkest Dungeon®: The Crimson Court",NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"117",230230,"Larian Studios","","1000000","2000000","3999","Divinity: Original Sin (Classic)",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"118",57900,"Gearbox Software","","1000000","2000000","1999","Duke Nukem Forever",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"119",202200,"Stardock Entertainment","","500000","1000000","1999","Galactic Civilizations II: Ultimate Edition",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"120",35420,"Defence Alliance Team","","0","20000","0","Killing Floor Mod: Defence Alliance 2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"121",3170,"Katauri Interactive","","200000","500000","999","King's Bounty: Armored Princess",NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"122",63910,"Katauri Interactive","","200000","500000","1499","King's Bounty: Crossworlds",NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"123",25900,"1C Entertainment","","200000","500000","699","King's Bounty: The Legend",NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"124",50130,"2K Czech","","2000000","5000000","2999","Mafia II",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"125",4780,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","","200000","500000","2499","Medieval II: Total War Kingdoms",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"126",1037200,"Mohawk Games","","0","20000","600","Offworld Trading Company - Core Game",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"127",235580,"Firaxis Games, Aspyr (Mac, Linux)","","0","20000","2999","Sid Meier's Civilization V: Brave New World",NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"128",228601,"Ironclad Games, Stardock Entertainment","","0","20000","499","Sins of a Solar Empire: Rebellion - Forbidden Worlds DLC",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"129",255910,"Ironclad Games, Stardock Entertainment","","0","20000","499","Sins of a Solar Empire: Rebellion - Stellar Phenomena DLC",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"130",212070,"Star Gem Inc.","","2000000","5000000","0","Star Conflict",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"131",32470,"Petroglyph","","1000000","2000000","1999","STAR WARS™ Empire at War: Gold Pack",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"132",1045980,"Paradox Development Studio","","0","20000","999","Stellaris: Ancient Relics Story Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"133",844810,"Paradox Development Studio","","0","20000","0","Stellaris: Distant Stars Story Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"134",756010,"Paradox Development Studio","","0","20000","799","Stellaris: Humanoids Species Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"135",518910,"Paradox Development Studio","","0","20000","999","Stellaris: Leviathans Story Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"136",944290,"Paradox Development Studio","","0","20000","0","Stellaris: MegaCorp",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"137",642750,"Paradox Development Studio","","0","20000","999","Stellaris: Synthetic Dawn",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"138",553280,"Paradox Development Studio","","0","20000","1999","Stellaris: Utopia",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"139",232890,"FireFly Studios","","1000000","2000000","3999","Stronghold Crusader 2",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"140",40970,"FireFly Studios","","1000000","2000000","999","Stronghold Crusader HD",NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"141",67370,"Digital Extremes","","1000000","2000000","2999","The Darkness II",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"142",355880,"CD PROJEKT RED","","0","20000","2499","The Witcher 3: Wild Hunt - Expansion Pass",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"143",343464,"Creative Assembly","","0","20000","1499","Total War: ATTILA - Age of Charlemagne Campaign Pack",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"144",201271,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","","0","20000","2999","Total War Saga: FALL OF THE SAMURAI",NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"145",345180,"Haemimont Games","","500000","1000000","1999","Victor Vran",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"146",463794,"Fatshark","","0","20000","0","Warhammer: End Times - Vermintide Quests and Contracts",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"147",419070,"Fatshark","","0","20000","0","Warhammer: End Times - Vermintide Sigmar's Blessing",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
